passage,g_start,g_end,replicate,lineage_group,category,n_variants,orfs
control_P30_P50,P30,P50,4,lineages_1_5,lost_from_start,1,Intergenic
control_P30_P50,P30,P50,5,lineages_1_5,shared,0,
control_P30_P50,P30,P50,5,lineages_1_5,gained_end,18,CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF139;CyHV3_ORF148;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF84;CyHV3_ORF85;Intergenic
control_P30_P50,P30,P50,5,lineages_1_5,lost_from_start,1,CyHV3_ORF30;CyHV3_ORF31;CyHV3_ORF33
control_P30_P50,P30,P50,6,lineages_6_10,shared,0,
control_P30_P50,P30,P50,6,lineages_6_10,gained_end,11,CyHV3_ORF122;CyHV3_ORF17;CyHV3_ORF19;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF64;CyHV3_ORF6_1;Intergenic
control_P30_P50,P30,P50,6,lineages_6_10,lost_from_start,1,CyHV3_ORF70;CyHV3_ORF71;CyHV3_ORF72
control_P30_P50,P30,P50,7,lineages_6_10,shared,0,
control_P30_P50,P30,P50,7,lineages_6_10,gained_end,22,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF19;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF6_2;CyHV3_ORF7_1;CyHV3_ORF89;CyHV3_ORF8_1;CyHV3_ORF97;Intergenic
control_P30_P50,P30,P50,7,lineages_6_10,lost_from_start,1,CyHV3_ORF97
control_P30_P50,P30,P50,8,lineages_6_10,shared,1,Intergenic
control_P30_P50,P30,P50,8,lineages_6_10,gained_end,22,CyHV3_ORF11;CyHV3_ORF116;CyHV3_ORF117;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF139;CyHV3_ORF148;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF27;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF68;CyHV3_ORF69;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF84;CyHV3_ORF85;Intergenic
control_P30_P50,P30,P50,8,lineages_6_10,lost_from_start,4,CyHV3_ORF122;CyHV3_ORF148;CyHV3_ORF19;CyHV3_ORF9
control_P30_P50,P30,P50,9,lineages_6_10,shared,0,
control_P30_P50,P30,P50,9,lineages_6_10,gained_end,30,CyHV3_ORF101;CyHV3_ORF103;CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF122;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF17;CyHV3_ORF19;CyHV3_ORF25;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF43;CyHV3_ORF44;CyHV3_ORF45;CyHV3_ORF46;CyHV3_ORF47;CyHV3_ORF48;CyHV3_ORF49;CyHV3_ORF64;CyHV3_ORF6_1;CyHV3_ORF6_2;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF89;CyHV3_ORF97;Intergenic
control_P30_P50,P30,P50,9,lineages_6_10,lost_from_start,1,CyHV3_ORF84;CyHV3_ORF85
control_P30_P50,P30,P50,10,lineages_6_10,shared,2,CyHV3_ORF122;Intergenic
control_P30_P50,P30,P50,10,lineages_6_10,gained_end,31,CyHV3_ORF11;CyHV3_ORF12;CyHV3_ORF135;CyHV3_ORF136;CyHV3_ORF139;CyHV3_ORF148;CyHV3_ORF149;CyHV3_ORF156;CyHV3_ORF17;CyHV3_ORF19;CyHV3_ORF25;CyHV3_ORF27;CyHV3_ORF30;CyHV3_ORF33;CyHV3_ORF40;CyHV3_ORF41;CyHV3_ORF43;CyHV3_ORF68;CyHV3_ORF69;CyHV3_ORF6_1;CyHV3_ORF6_2;CyHV3_ORF75;CyHV3_ORF77;CyHV3_ORF78;CyHV3_ORF84;CyHV3_ORF85;CyHV3_ORF97;CyHV3_ORF99;Intergenic
control_P30_P50,P30,P50,10,lineages_6_10,lost_from_start,1,CyHV3_ORF19
